Date / Time,City,State,Shape,Duration,Summary,Posted
7/4/14 22:00,Arvada,CO,Oval,3 minutes,"During 4th of July event, we saw four orange lights moving very slow and smoothly in the sky appearing and disappearing one at a time.",7/5/14
7/4/14 22:00,Denver,CO,Disk,Not sure,I caught a picture of a disc!!!,7/20/14
7/4/14 21:45,Golden,CO,Unknown,~1 minute,Hovering lights seen in the sky from the top of Ancient Palms trail.,7/5/14
7/4/14 21:43,Lakewood,CO,Formation,5+ minutes,Two groups of UFO's over the Denver metro during 4th of July fireworks.,7/5/14
7/4/14 21:40,Englewood,CO,Unknown,Unknown,Four bright orange lights dancing in sky after cherry hills country club fireworks.,7/5/14
7/4/14 21:30,Denver,CO,Sphere,2 minutes,3 to 4 orange lights moving in a weaving formation caught on video.,7/5/14
7/4/14 21:30,Westminster,CO,Formation,30 seconds,4 light orbs moving in a snake like formation southwards and aligned north/south.,7/5/14
7/4/14 21:00,Denver,CO,Light,2 minutes,5 fast moving lights seen over Denver.,7/5/14
7/4/14 09:20,Arvada,CO,Circle,7 minutes,5 dancing orbs that disappeared.,7/5/14
7/1/14 21:45,Centennial,CO,Light,20+ minutes,"5 Orange lights seen on multiple occasions, west of our direction.",7/4/14
6/30/14 00:34,Colorado Springs,CO,Other,20 minutes,flashing light (s) high up between NORAD and Pike's Peak,7/4/14
6/29/14 08:00,Thornton,CO,Unknown,Almost dark,Flying humanoid,7/4/14
6/28/14 22:27,Dolores,CO,Light,2-3 minutes,Bright yellowish orange object moving south to east.,7/4/14
6/28/14 21:30,Highlands Ranch,CO,Sphere,10.00,Star-like object moving around the sky.,7/4/14
6/20/14 16:25,Estes Park,CO,Oval,25 seconds,"Object dropped out of a cloud, remained stationary for 15 seconds, moved west, then in an instant was gone.",6/24/14
6/19/14 23:06,Lakewood,CO,Unknown,45 seconds,UFO emitting bright blue and white light traveling East to West right over the overpass (10 ft) on Garrison at a fast pace (&lt;15 s),6/20/14
6/19/14 21:20,Denver,CO,Disk,3 minutes,"Red round object with naked eye, disk shape with flames through scope in southwest  sky",6/24/14
6/19/14 21:20,Denver,CO,Oval,5 minutes,"Round, fierey red, stationary object in the sky.",6/24/14
6/16/14 10:00,Colorado Springs,CO,Formation,10 minutes,One large object  followed by several silver lights in no particular order. The lights were following the larger object,6/20/14
6/16/14 09:45,Colorado Springs,CO,Egg,15 minutes,"Large gray object and 20 little ones floating in the sky.  ((NUFORC Note:  Photos shows gray, blurry, indistinct object.  PD))",7/20/14
6/14/14 20:30,Denver,CO,Light,3-4 minutes,Bright light hovering at DIA.,6/24/14
6/14/14 00:30,Longmont,CO,Oval,45 seconds,Light disappeared.,6/20/14
6/5/14 22:30,Aurora,CO,Fireball,15 minutes,5 Bright lights seen.,6/6/14
6/5/14 20:30,Denver (unicorporated area),CO,Cigar,12 minutes,"During the mid-evening of Thursday, June 5th, 2014, myself, two other adults and three children simultaneously witnessed the following.",6/13/14
6/5/14 09:45,Morrison,CO,Circle,5 minutes,An illuminated orb went over my house flying relatively low.  It was moving slow from west to east and was completely silent.,6/13/14
5/29/14 23:15,Denver,CO,Light,15 minutes,"Small light changed direction and speed, then stopped and became dim as if moving higher out of sight.",6/4/14
5/28/14 15:15,Windsor,CO,Rectangle,30 seconds,Rectangular silver object at the town pool.,6/4/14
5/27/14 18:51,Colorado Springs,CO,Fireball,picture taken,"I took a picture of a storm, I zoomed in and saw a double fireball shaped object, I wanted to report this because I don't know what it",6/13/14
5/19/14 10:34,Salida,CO,Sphere,15 minutes,There were 4 circular metal objects in the sky they look like aluminum color and looked like if they were playing in the sky like chasi,6/4/14
